1114,4213623631
1115,4211817772
1116,4209992483
1117,4208147781
1118,4206283683
1119,4204400207
1120,4202497371
1121,4200575192
1122,4198633688
1123,4196672878
1124,4194692781
1125,4192693414
1126,4190674797
1127,4188636949
1128,4186579889
1129,4184503636
1130,4182408209
1131,4180293630
1132,4178159916
1133,4176007089
1134,4173835169
1135,4171644176
1136,4169434131
1137,4167205055
1138,4164956968
1139,4162689892
1140,4160403848
1141,4158098858
1142,4155774943
1143,4153432125
1144,4151070427
1145,4148689870
1146,4146290477
1147,4143872270
1148,4141435272
1149,4138979507
1150,4136504997
1151,4134011766
1152,4131499836
1153,4128969233
1154,4126419978
1155,4123852098
1156,4121265615
1157,4118660554
1158,4116036939
1159,4113394796
1160,4110734149
1161,4108055023
1162,4105357443
1163,4102641435
1164,4099907024
1165,4097154237
1166,4094383098
1167,4091593635
1168,4088785872
1169,4085959838
1170,4083115558
1171,4080253059
1172,4077372367
1173,4074473512
1174,4071556518
1175,4068621414
1176,4065668228
1177,4062696988
1178,4059707720
1179,4056700454
1180,4053675218
1181,4050632039
1182,4047570948
1183,4044491973
1184,4041395142
1185,4038280484
1186,4035148030
1187,4031997809
1188,4028829849
1189,4025644182
1190,4022440837
1191,4019219844
1192,4015981233
1193,4012725036
1194,4009451282
1195,4006160002
1196,4002851228
1197,3999524991
1198,3996181321
1199,3992820251
1200,3989441812
1201,3986046035
1202,3982632954
1203,3979202599
1204,3975755003
1205,3972290199
1206,3968808220
1207,3965309097
1208,3961792864
1209,3958259554
1210,3954709200
1211,3951141837
1212,3947557496
1213,3943956212
1214,3940338020
1215,3936702952
1216,3933051044
1217,3929382329
1218,3925696842
1219,3921994618
1220,3918275692
1221,3914540098
1222,3910787872
1223,3907019049
1224,3903233665
1225,3899431755
1226,3895613354
1227,3891778500
1228,3887927228
1229,3884059574
1230,3880175575
1231,3876275267
1232,3872358687
1233,3868425872
1234,3864476859
1235,3860511685
1236,3856530387
1237,3852533002
1238,3848519570
1239,3844490126
1240,3840444710
1241,3836383359
1242,3832306111
1243,3828213005
1244,3824104079
1245,3819979373
1246,3815838924
1247,3811682772
1248,3807510956
1249,3803323515
1250,3799120489
1251,3794901917
1252,3790667838
1253,3786418294
1254,3782153323
1255,3777872966
1256,3773577263
1257,3769266255
1258,3764939982
1259,3760598485
1260,3756241805
1261,3751869982
1262,3747483059
1263,3743081075
1264,3738664073
